Facility ID,Excess Readmission Ratio,Number of Readmissions,Number of Discharges,Readmission Rate
10001,0.9483,36.0,296.0,12.162162162162163
10001,0.9509,13.0,151.0,8.609271523178808
10001,1.0597,151.0,681.0,22.173274596182086
10001,0.9654,,0.0,
10001,0.9715,77.0,490.0,15.714285714285714
10001,0.933,16.0,130.0,12.307692307692308
10005,0.0,0.0,0.0,
10005,0.8497,,0.0,
10005,0.9935,35.0,176.0,19.886363636363637
10005,0.8495,30.0,305.0,9.836065573770492
10005,0.0,0.0,0.0,
10005,0.8696,14.0,144.0,9.722222222222223
10006,0.9463,24.0,154.0,15.584415584415584
10006,0.9666,95.0,508.0,18.700787401574804
10006,0.9704,36.0,315.0,11.428571428571429
10006,1.0846,14.0,91.0,15.384615384615385
10006,1.0112,105.0,621.0,16.908212560386474
10006,0.9762,,0.0,
10007,1.0277,,0.0,
10007,1.0674,12.0,35.0,34.285714285714285
10007,0.9695,,0.0,
10007,1.0488,17.0,85.0,20.0
10007,0.0,0.0,0.0,
10007,0.0,0.0,0.0,
10008,0.0,0.0,0.0,
10008,0.0,0.0,0.0,
10008,0.0,0.0,0.0,
10008,0.0,0.0,0.0,
10008,0.0,0.0,0.0,
10008,0.0,0.0,0.0,
10011,1.012,11.0,58.0,18.96551724137931
10011,0.9675,16.0,148.0,10.81081081081081
10011,0.9541,,0.0,
10011,1.0589,63.0,344.0,18.313953488372093
10011,1.0439,63.0,295.0,21.35593220338983
10011,1.1146,12.0,70.0,17.142857142857142
10012,0.0,0.0,0.0,
10012,0.9055,,0.0,
10012,1.0505,20.0,84.0,23.809523809523807
10012,0.9685,20.0,160.0,12.5
10012,1.0044,,0.0,
10012,1.0125,,0.0,
10016,1.0434,40.0,214.0,18.69158878504673
10016,1.0792,,0.0,
10016,0.9794,,0.0,
10016,1.1477,,0.0,
10016,1.0005,47.0,229.0,20.52401746724891
10016,1.0186,12.0,77.0,15.584415584415584
10018,0.0,0.0,0.0,
10018,0.0,0.0,0.0,
10018,0.0,0.0,0.0,
10018,0.0,0.0,0.0,
10018,0.0,0.0,0.0,
10018,0.0,0.0,0.0,
10019,0.9039,,0.0,
10019,0.9294,40.0,254.0,15.748031496062993
10019,0.0,0.0,0.0,
10019,0.0,0.0,0.0,
10019,1.0188,29.0,162.0,17.901234567901234
10019,1.0441,39.0,236.0,16.52542372881356
10021,0.0,0.0,0.0,
10021,0.9912,,0.0,
10021,0.0,0.0,0.0,
10021,0.0,0.0,0.0,
10021,1.058,14.0,65.0,21.53846153846154
10021,1.0522,11.0,34.0,32.35294117647059
10022,0.0,0.0,0.0,
10022,0.9728,,0.0,
10022,0.0,0.0,0.0,
10022,0.0,0.0,0.0,
10022,0.0,0.0,0.0,
10022,0.0,0.0,0.0,
10023,1.038,67.0,305.0,21.9672131147541
10023,1.1302,,0.0,
10023,1.0023,25.0,146.0,17.123287671232877
10023,0.9825,12.0,70.0,17.142857142857142
10023,1.0708,,0.0,
10023,1.0485,30.0,194.0,15.463917525773196
10024,1.0422,43.0,233.0,18.4549356223176
10024,0.0,0.0,0.0,
10024,0.9257,,0.0,
10024,1.0036,63.0,325.0,19.384615384615383
10024,0.9693,12.0,79.0,15.18987341772152
10024,0.9784,20.0,146.0,13.698630136986301
10029,0.905,,0.0,
10029,1.0648,40.0,179.0,22.3463687150838
10029,0.9654,,0.0,
10029,1.0742,11.0,66.0,16.666666666666664
10029,1.0358,,0.0,
10029,0.9304,11.0,284.0,3.873239436619718
10033,1.1073,73.0,365.0,20.0
10033,0.9857,29.0,154.0,18.83116883116883
10033,1.0866,47.0,353.0,13.314447592067987
10033,1.1,50.0,289.0,17.301038062283737
10033,1.125,,0.0,
10033,0.9451,123.0,675.0,18.22222222222222
10034,0.0,0.0,0.0,
10034,0.0,0.0,0.0,
10034,0.0,0.0,0.0,
10034,0.0,0.0,0.0,
10034,0.0,0.0,0.0,
10034,0.0,0.0,0.0,
10035,0.0,0.0,0.0,
10035,1.0057,,0.0,
10035,1.018,70.0,367.0,19.07356948228883
10035,0.9979,,0.0,
